Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric
week,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,0.22,3.17,5.44,9.21,5.06,3.76,3.91,2.16,21.46,2.02,10.58,16.31
2,0.37,6.43,12,8.13,12.09,7.33,12.07,5.51,33.28,4.11,15.25,26.44
3,1.07,9.36,20.88,9.03,26.41,22.73,22.58,11.78,37,10.56,28.66,51.93
4,2.58,15.33,37.48,6.46,31.88,35.95,36.44,24.81,39.42,22.57,39.41,52.35
5,5.32,17.7,35.7,4.27,28.93,42.62,35.82,34.44,29.11,34.66,38.14,54.33
6,9.97,15.02,24.71,2.81,21.5,40.34,26.7,30.72,19.03,39.97,28.57,45.38
7,11.92,9.51,16.76,1.76,16.35,35.44,16.31,28.18,12.15,37.16,23.92,29.65
8,18.35,8.78,12.05,1.36,15.75,29.04,13.9,27.36,8.26,36.12,16.87,22.64
9,23.4,7.19,13.5,0.77,13.85,23.7,12.26,28.44,5.88,35.35,13.55,17.42
10,27.6,5.8,14.87,0.51,16.81,21.06,10.37,22.93,4.32,28.2,11.09,12.05
11,32.95,4.83,16.5,0.41,17.25,16.65,8.13,22.79,3.99,21.13,10.33,8.65
12,32.46,3.01,15.63,0.22,12.33,14.21,6.75,18.59,3.85,13.81,7.71,5.35
13,21.45,1.68,9.37,0.17,10.02,10.15,4.38,12.13,2.63,11.2,6.78,3.39
14,9.43,0.94,6.1,0.12,6.35,6.04,2.8,6.13,2.14,7.02,5.06,2
15,7.09,0.8,4.05,0.14,6.42,5.56,2,4.18,1.57,5.06,3.98,1.66
16,6.22,0.71,4.1,0.2,7.56,5.36,2.89,4.65,2.06,4.22,4.06,1.76
17,5.52,0.63,3.51,0.17,6.75,3.82,3.07,4.03,2.02,2.51,3.13,1.23
18,2.52,0.4,3.21,0.08,3.38,1.52,2.36,2.52,1.43,1.24,2.03,0.61
19,1.5,0.19,1.69,0.08,1.97,0.86,1.91,1.09,0.71,0.68,1.37,0.42
20,1.11,0.2,1.08,0.13,1.62,0.56,1.87,0.83,0.59,0.48,1.05,0.4
21,0.82,0.2,1.26,0.1,1.11,0.46,1.21,0.56,0.51,0.29,0.68,0.27
22,0.57,0.14,0.71,0.11,0.82,0.31,0.7,0.35,0.4,0.17,0.42,0.19
23,0.36,0.12,0.41,0.07,0.53,0.21,0.43,0.17,0.25,0.13,0.31,0.12
24,0.22,0.1,0.29,0.06,0.29,0.17,0.26,0.13,0.17,0.07,0.26,0.08
25,0.2,0.07,0.23,0.04,0.17,0.15,0.17,0.1,0.13,0.04,0.23,0.09
26,0.19,0.06,0.2,0.04,0.1,0.16,0.13,0.07,0.11,0.03,0.2,0.09
27,0.18,0.05,0.16,0.04,0.06,0.15,0.1,0.07,0.1,0.03,0.18,0.09
28,0.21,0.04,0.21,0.04,0.04,0.15,0.07,0.04,0.09,0.03,0.2,0.07
29,0.18,0.03,0.22,0.03,0.03,0.28,0.05,0.04,0.1,0.02,0.19,0.06
30,0.17,0.02,0.28,0.02,0.02,0.26,0.03,0.03,0.08,0.02,0.19,0.05
31,0.11,0.01,0.56,0.03,0.02,0.23,0.02,0.03,0.06,0.02,0.2,0.05
32,0.08,0.02,0.99,0.04,0.02,0.22,0.02,0.02,0.05,0.03,0.17,0.04
33,0.07,0.01,1.7,0.02,0.01,0.25,0.02,0.02,0.05,0.02,0.14,0.04
34,0.07,0.01,2.48,0.02,0.01,0.22,0.01,0.02,0.05,0.03,0.12,0.03
35,0.07,0.01,2.53,0.03,0.01,0.25,0.02,0.03,0.06,0.03,0.17,0.05
36,0.07,0.01,2.62,0.04,0.01,0.2,0.01,0.04,0.06,0.05,0.18,0.07
37,0.1,0.01,3.22,0.05,0.02,0.23,0.02,0.05,0.07,0.09,0.22,0.13
38,0.08,0.01,5.01,0.04,0.02,0.18,0.02,0.04,0.06,0.12,0.18,0.14
39,0.08,0.01,4.31,0.06,0.04,0.14,0.02,0.07,0.05,0.16,0.21,0.16
40,0.1,0.01,6.44,0.11,0.06,0.09,0.03,0.07,0.04,0.23,0.21,0.17
41,0.1,0.02,13.13,0.09,0.06,0.06,0.04,0.06,0.06,0.24,0.17,0.12
42,0.12,0.04,17.74,0.12,0.09,0.05,0.02,0.04,0.08,0.37,0.24,0.19
43,0.2,0.06,24.77,0.15,0.1,0.06,0.06,0.07,0.1,0.47,0.36,0.19
44,0.26,0.11,33.38,0.2,0.12,0.07,0.08,0.16,0.11,0.59,0.49,0.21
45,0.5,0.17,32.79,0.26,0.14,0.11,0.11,0.22,0.13,0.84,0.52,0.35
46,0.94,0.32,35.2,0.36,0.21,0.14,0.14,0.37,0.14,1.38,0.77,0.38
47,1.53,0.56,38.87,0.44,0.29,0.22,0.27,0.94,0.19,1.79,1.47,0.52
48,2.3,0.83,39.66,0.7,0.57,0.31,0.44,1.9,0.17,2.49,2.58,0.93
49,3.98,1.63,31.84,0.93,1.11,0.57,0.67,3.49,0.21,3.31,4.06,1.7
50,5.68,2.8,27.39,1.41,1.98,1.17,0.82,7.38,0.34,5.02,7.4,3.35
51,7.22,4.69,22.43,2.06,3.34,2.23,1.39,15.17,0.46,8.38,12.87,8.05
52,6.18,6.53,19.62,2.3,3.75,3.35,1.9,26.63,0.76,8.54,17.88,11.17